ITS2 type profile UID		167840	168148	169329	169282	168890	169349	168960	168777	168920	168613	169285	169621	169287	168821	169619	168929	168855	169286	168925	169473	168530	169477	169720	168956	169344	168496	169284	168902	168405	168932	168574	169475	168457	169097	168462	168463	169627	168606	169121	168872	169517	169781	168896	169280	169542	168527	169684	169702	169326	168434	168822
Clade		A	A	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Majority ITS2 sequence		A1h	A1	C3k/C3	C42.2/C1/C42g	C1d/C1	C3k/C3	C42u/C1/C42.2	C1d/C1	C42u/C42a/C1/C42.2	C3k/C3	C1d/C1/C1ba	C3k/C3	C42.2/C1dh/C1d	C42.2	C3bo/C3k	C1/C1ag	C1d	C42.2	C42g/C42.2/C1	C3k/C3/C1	C1ag/C1	C3k	C1d	C42u	C3k	C42.2/C1	C42g	C1d	C1	C1	C1ag	C1	C1	C1	C3	C1	C1	C3	C1	C42.2	C42a	C1co	C42.2	C1	C3k	C1	C3	C15h	C3k	C3k	C1
Associated species		None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
ITS2 profile abundance local		1	1	161	105	72	52	48	37	15	14	13	12	9	7	6	6	5	5	5	4	4	3	3	3	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ITS2 profile abundance DB		19	231	191	310	439	105	102	64	25	79	13	12	10	116	9	7	69	14	49	10	9	4	44	3	5	22	2	7	29	28	12	11	15	163	103	10	4	49	23	24	121	3	3	12	3	2	3	40	63	14	19
ITS2 type profile		A1/A1h	A1	C3k/C3-C50a-C29-C21ab-C3b	C1/C42.2/C42g/C42a-C1b-C1au-C1az-C42h-C3	C1d/C1/C42.2/C3-C1b-C3cg-C115k-C45c-C1au-C41p	C3k/C3-C50a-C21ab-C50f-C3ba-C3dq	C1/C42.2/C42u-C1b-C42a-C1au-C115l-C1az-C115d	C1d/C1/C42.2-C3cg-C1b-C45c-C115k-C1au	C42u/C42a/C1/C42.2/C42b-C1b-C1au	C3k/C3-C50a-C3ba-C50f-C3dq-C21-C3a	C1d/C1/C1ba-C42.2-C3cg-C1b-C115k	C3k/C3-C50a-C3jv-C3vx-C3vy	C42.2/C1dh/C1/C1d-C1b-C3cg	C42.2/C1/C42a/C1b-C1au-C1az-C3-C115d	C3bo/C3k-C3-C3bp-C50a-C29	C1ag/C1/C1ah-C42.2-C3cg-C1b	C1d-C42.2-C1-C1k-C1b-C3cg	C42.2/C1/C42a-C1b-C42g-C42b-C1au-C1az	C42g/C42a/C42.2/C1-C42h-C42b-C1b-C1au	C3k/C3/C1-C50a-C21ab	C1ag/C1/C42.2-C3cg-C1b-C1bi	C3k-C3-C50a-C21ab-C3b	C1d	C42u-C1-C42.2-C42a-C1b-C1au-C115k-C115d	C3k-C3-C50a-C21ab-C50f-C3ba	C1/C42.2	C42g-C42.2-C1-C1b-C42h-C42a-C42ba-C42b	C1d/C15h-C1-C42.2	C1/C1c	C1ag/C1/C42.2/C1bi-C3cg-C1b-C3cw-C45c	C1ag-C1-C42.2-C1bi-C3cg-C1b-C1bk	C1/C3k-C1b-C3-C42.2-C1bh-C1br	C40/C1-C3-C115	C1/C3-C1c-C1b-C1w	C3/C21/C3av-C3at-C3b-C3dp	C42.2/C42a/C1-C1b	C1ag/C1-C1m-C42.2-C1lr-C1bi-C3cg	C3-C21-C3k-C3at-C3b-C3av-C3dp	C42.2/C1-C1b-C3-C1au-C1j	C1/C42.2/C42g/C42a-C1b-C1az-C3-C1au	C42a/C1/C42.2/C1b/C1j-C1au-C3-C115l	C1co	C1b/C3/C42.2-C1-C42a-C42g-C1az	C1d/C1	C3k-C50a-C3cz	C1ag/C1-C42.2-C3cg-C1b	C3-C3k	C15h	C3/C3k-C29-C21ab-C3b-C3gj-C21.12	C3k/C50a	C42a/C1-C42.2
138968	Plate5_C011	0	0	20465.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139000	Plate5_F007	0	0	27117.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138981	Plate5_D012	0	0	13819.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139140	Plate7_B007	0	0	22306.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139172	Plate7_F002	0	0	23441.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
