Vial,Symbiont ID,Species,Reef,Site
P ver 001,Plate1_A001,Pmeandrina,Saumarez,Saumarez 3
P ver 013,Plate1_A002,Pmeandrina,Saumarez,Saumarez 3
P ver 039,Plate1_A003,Pmeandrina,Wreck,Wreck 1
P ver 061,Plate1_A004,Pmeandrina,Frederick,Frederick 2
P ver 101,Plate1_A005,Pverrucosa,Marion,Marion 6
P ver 169,Plate1_A006,Pmeandrina,Chilcott,Chilcott 2
P ver 200,Plate1_A007,Unknown,Lihou,Lihou 1
P ver 213,Plate1_A008,Pmeandrina,Lihou,Lihou 2
P ver 236,Plate1_A009,Pmeandrina,Willis,Willis 7
P ver 347,Plate1_A010,Pmeandrina,Bougainville,Bougainville 4
P ver 383,Plate1_A011,Pverrucosa,Bougainville,Bougainville 5
P ver 392,Plate1_A012,Pverrucosa,Osprey,Osprey 6
P ver 003,Plate1_B001,Pmeandrina,Saumarez,Saumarez 3
P ver 015,Plate1_B002,Pmeandrina,Saumarez,Saumarez 3
P ver 040,Plate1_B003,Pverrucosa,Wreck,Wreck 1
P ver 065,Plate1_B004,Pmeandrina,Frederick,Frederick 2
P ver 102,Plate1_B005,Unknown,Marion,Marion 6
P ver 171,Plate1_B006,Pmeandrina,Chilcott,Chilcott 2
P ver 201,Plate1_B007,Pverrucosa,Lihou,Lihou 1
P ver 216,Plate1_B008,Pmeandrina,Lihou,Lihou 2
P ver 238,Plate1_B009,Pmeandrina,Willis,Willis 7
P ver 348,Plate1_B010,Pverrucosa,Bougainville,Bougainville 4
P ver 384,Plate1_B011,Pverrucosa,Bougainville,Bougainville 5
P ver 394,Plate1_B012,Pmeandrina,Osprey,Osprey 6
P ver 004,Plate1_C001,Pmeandrina,Saumarez,Saumarez 3
P ver 016,Plate1_C002,Pmeandrina,Saumarez,Saumarez 7
P ver 041,Plate1_C003,Unknown,Wreck,Wreck 1
P ver 069,Plate1_C004,Pverrucosa,Frederick,Frederick 4
P ver 106,Plate1_C005,Unknown,Marion,Marion 6
P ver 172,Plate1_C006,Pmeandrina,Chilcott,Chilcott 2
P ver 202,Plate1_C007,Pverrucosa,Lihou,Lihou 2
P ver 218,Plate1_C008,Pverrucosa,Lihou,Lihou 2
P ver 239,Plate1_C009,Pmeandrina,Willis,Willis 7
P ver 350,Plate1_C010,Pverrucosa,Bougainville,Bougainville 4
P ver 385,Plate1_C011,Pverrucosa,Osprey,Osprey 6
P ver 395,Plate1_C012,Pverrucosa,Osprey,Osprey 6
P ver 005,Plate1_D001,Pmeandrina,Saumarez,Saumarez 3
P ver 018,Plate1_D002,Unknown,Saumarez,Saumarez 7
P ver 043,Plate1_D003,Pmeandrina,Wreck,Wreck 1
P ver 071,Plate1_D004,Unknown,Frederick,Frederick 4
P ver 127,Plate1_D005,Pverrucosa,Flinders,Flinders 6
P ver 182,Plate1_D006,Pmeandrina,Chilcott,Chilcott 4
P ver 203,Plate1_D007,Pmeandrina,Lihou,Lihou 2
P ver 221,Plate1_D008,Pmeandrina,Willis,Willis 7
P ver 241,Plate1_D009,Pverrucosa,Willis,Willis 7
P ver 351,Plate1_D010,Unknown,Bougainville,Bougainville 4
P ver 386,Plate1_D011,Pverrucosa,Osprey,Osprey 6
P ver 397,Plate1_D012,Pverrucosa,Osprey,Osprey 6
P ver 006,Plate1_E001,Pmeandrina,Saumarez,Saumarez 3
P ver 023,Plate1_E002,Pmeandrina,Saumarez,Saumarez 7
P ver 044,Plate1_E003,Pmeandrina,Wreck,Wreck 1
P ver 082,Plate1_E004,Pmeandrina,Marion,Marion 8
P ver 143,Plate1_E005,Unknown,Flinders,Flinders 2
P ver 193,Plate1_E006,Pverrucosa,Lihou,Lihou 1
P ver 206,Plate1_E007,Pverrucosa,Lihou,Lihou 2
P ver 222,Plate1_E008,Pverrucosa,Willis,Willis 7
P ver 246,Plate1_E009,Pmeandrina,Moore,Moore 5
P ver 374,Plate1_E010,Unknown,Bougainville,Bougainville 1
P ver 387,Plate1_E011,Pmeandrina,Osprey,Osprey 6
P ver 398,Plate1_E012,Pmeandrina,Osprey,Osprey 6
P ver 007,Plate1_F001,Unknown,Saumarez,Saumarez 3
P ver 025,Plate1_F002,Pmeandrina,Saumarez,Saumarez 7
P ver 049,Plate1_F003,Pmeandrina,Wreck,Wreck 4
P ver 086,Plate1_F004,Unknown,Marion,Marion 8
P ver 163,Plate1_F005,Pmeandrina,Herald,Herald 1
P ver 194,Plate1_F006,Pverrucosa,Lihou,Lihou 1
P ver 208,Plate1_F007,Pverrucosa,Lihou,Lihou 2
P ver 224,Plate1_F008,Pverrucosa,Willis,Willis 7
P ver 251,Plate1_F009,Pmeandrina,Moore,Moore 5
P ver 376,Plate1_F010,Pmeandrina,Bougainville,Bougainville 5
P ver 389,Plate1_F011,Pverrucosa,Osprey,Osprey 6
P ver 399,Plate1_F012,Pverrucosa,Osprey,Osprey 6
P ver 008,Plate1_G001,Pmeandrina,Saumarez,Saumarez 3
P ver 035,Plate1_G002,Pmeandrina,Wreck,Wreck 1
P ver 052,Plate1_G003,Unknown,Wreck,Wreck 4
P ver 096,Plate1_G004,Unknown,Marion,Marion 6
P ver 167,Plate1_G005,Pmeandrina,Chilcott,Chilcott 2
P ver 195,Plate1_G006,Pverrucosa,Lihou,Lihou 1
P ver 211,Plate1_G007,Pmeandrina,Lihou,Lihou 2
P ver 225,Plate1_G008,Pverrucosa,Willis,Willis 7
P ver 270,Plate1_G009,Pverrucosa,Moore,Moore 4
P ver 379,Plate1_G010,Pverrucosa,Bougainville,Bougainville 5
P ver 390,Plate1_G011,Pverrucosa,Osprey,Osprey 6
P ver 012,Plate1_H001,Unknown,Saumarez,Saumarez 3
P ver 037,Plate1_H002,Pmeandrina,Wreck,Wreck 1
P ver 057,Plate1_H003,Pmeandrina,Frederick,Frederick 2
P ver 100,Plate1_H004,Unknown,Marion,Marion 6
P ver 168,Plate1_H005,Pmeandrina,Chilcott,Chilcott 2
P ver 198,Plate1_H006,Pmeandrina,Lihou,Lihou 1
P ver 212,Plate1_H007,Pverrucosa,Lihou,Lihou 2
P ver 232,Plate1_H008,Pmeandrina,Willis,Willis 7
P ver 282,Plate1_H009,Pverrucosa,Holmes,Holmes 7
P ver 381,Plate1_H010,Pmeandrina,Bougainville,Bougainville 5
P ver 391,Plate1_H011,Pmeandrina,Osprey,Osprey 6
P ver 002,Plate2_A001,Pmeandrina,Saumarez,Saumarez 3
P ver 024,Plate2_A002,Pmeandrina,Saumarez,Saumarez 7
P ver 055,Plate2_A003,Pmeandrina,Frederick,Frederick 2
P ver 092,Plate2_A004,Pmeandrina,Marion,Marion 6
P ver 114,Plate2_A005,Pverrucosa,Flinders,Flinders 5
P ver 173,Plate2_A006,Pmeandrina,Chilcott,Chilcott 2
P ver 207,Plate2_A007,Pverrucosa,Lihou,Lihou 2
P ver 234,Plate2_A008,Pmeandrina,Willis,Willis 7
P ver 260,Plate2_A009,Pmeandrina,Moore,Moore 5
P ver 271,Plate2_A010,Pmeandrina,Moore,Moore 4
P ver 305,Plate2_A011,Pmeandrina,Holmes,Holmes 1
P ver 372,Plate2_A012,Pmeandrina,Bougainville,Bougainville 1
P ver 009,Plate2_B001,Pmeandrina,Saumarez,Saumarez 3
P ver 030,Plate2_B002,Pverrucosa,Wreck,Wreck 2
P ver 059,Plate2_B003,Pmeandrina,Frederick,Frederick 2
P ver 095,Plate2_B004,Pmeandrina,Marion,Marion 6
P ver 129,Plate2_B005,Pverrucosa,Flinders,Flinders 6
P ver 174,Plate2_B006,Pmeandrina,Chilcott,Chilcott 2
P ver 209,Plate2_B007,Unknown,Lihou,Lihou 2
P ver 235,Plate2_B008,Pverrucosa,Willis,Willis 7
P ver 261,Plate2_B009,Pverrucosa,Moore,Moore 5
P ver 274,Plate2_B010,Pverrucosa,Moore,Moore 3
P ver 306,Plate2_B011,Pmeandrina,Holmes,Holmes 1
P ver 373,Plate2_B012,Pmeandrina,Bougainville,Bougainville 1
P ver 010,Plate2_C001,Pmeandrina,Saumarez,Saumarez 3
P ver 032,Plate2_C002,Unknown,Wreck,Wreck 2
P ver 060,Plate2_C003,Pmeandrina,Frederick,Frederick 2
P ver 089,Plate2_C004,Unknown,Marion,Marion 8
P ver 138,Plate2_C005,Pverrucosa,Flinders,Flinders 2
P ver 175,Plate2_C006,Pverrucosa,Chilcott,Chilcott 2
