Old Plate,Vial,Reef,mtORF ID
Plate1_A007,P ver 200,Lihou,mtORF1_A01
Plate1_C005,P ver 106,Marion,mtORF1_D01
Plate1_D004,P ver 071,Frederick,mtORF1_F01
Plate1_D010,P ver 351,Bougainville,mtORF1_G01
Plate2_C007,P ver 214,Lihou,mtORF1_C03
Plate2_C012,P ver 375,Bougainville,mtORF1_D03
Plate2_H009,P ver 267,Moore,mtORF1_A05
Plate3_C001,P ver 027,Saumarez,mtORF1_E05
Plate3_C012,P ver 377,Bougainville,mtORF1_H05
Plate3_H007,P ver 250,Moore,mtORF1_B07
Plate4_A004,P ver 133,Flinders,mtORF1_E07
Plate4_B001,P ver 050,Wreck,mtORF1_F07
Plate4_C001,P ver 058,Frederick,mtORF1_G07
Plate4_G007,P ver 288,Holmes,mtORF1_D08
Plate4_F002,P ver 110,Marion,mtORF1_E09
Plate1_B005,P ver 102,Marion,mtORF1_B01
Plate1_C003,P ver 041,Wreck,mtORF1_C01
Plate1_D002,P ver 018,Saumarez,mtORF1_E01
Plate1_E005,P ver 143,Flinders,mtORF1_H01
Plate1_E010,P ver 374,Bougainville,mtORF1_A02
Plate1_F001,P ver 007,Saumarez,mtORF1_B02
Plate1_F004,P ver 086,Marion,mtORF1_C02
Plate1_G003,P ver 052,Wreck,mtORF1_D02
Plate1_G004,P ver 096,Marion,mtORF1_E02
Plate1_H001,P ver 012,Saumarez,mtORF1_F02
Plate1_H004,P ver 100,Marion,mtORF1_G02
Plate2_B007,P ver 209,Lihou,mtORF1_H02
Plate2_C002,P ver 032,Wreck,mtORF1_A03
Plate2_C004,P ver 089,Marion,mtORF1_B03
Plate2_D002,P ver 034,Wreck,mtORF1_E03
Plate2_D009,P ver 263,Moore,mtORF1_F03
Plate2_D010,P ver 280,Moore,mtORF1_G03
Plate2_D011,P ver 349,Bougainville,mtORF1_H03
Plate2_E006,P ver 178,Chilcott,mtORF1_A04
Plate2_F002,P ver 038,Wreck,mtORF1_B04
Plate2_F003,P ver 068,Frederick,mtORF1_C04
Plate2_G001,P ver 021,Saumarez,mtORF1_D04
Plate2_G003,P ver 085,Marion,mtORF1_E04
Plate2_G006,P ver 197,Lihou,mtORF1_F04
Plate2_G007,P ver 229,Willis,mtORF1_G04
Plate2_H003,P ver 087,Marion,mtORF1_H04
Plate3_B003,P ver 070,Frederick,mtORF1_B05
Plate3_B011,P ver 355,Bougainville,mtORF1_C05
Plate3_B012,P ver 370,Bougainville,mtORF1_D05
Plate3_C006,P ver 180,Chilcott,mtORF1_F05
Plate3_C011,P ver 356,Bougainville,mtORF1_G05
Plate3_D001,P ver 028,Saumarez,mtORF1_A06
Plate3_D006,P ver 181,Chilcott,mtORF1_B06
Plate3_D008,P ver 256,Moore,mtORF1_C06
Plate3_E002,P ver 053,Wreck,mtORF1_D06
Plate3_E005,P ver 147,Flinders,mtORF1_E06
Plate3_E008,P ver 257,Moore,mtORF1_F06
Plate3_E009,P ver 283,Holmes,mtORF1_G06
Plate3_F008,P ver 259,Moore,mtORF1_H06
Plate3_H002,P ver 063,Frederick,mtORF1_A07
Plate3_H008,P ver 272,Moore,mtORF1_C07
Plate3_H009,P ver 292,Holmes,mtORF1_D07
Plate4_D008,P ver 353,Bougainville,mtORF1_H07
Plate4_E008,P ver 357,Bougainville,mtORF1_A08
Plate4_F005,P ver 158,Herald,mtORF1_B08
Plate4_G005,P ver 159,Herald,mtORF1_C08
Plate4_H001,P ver 094,Marion,mtORF1_E08
Plate4_H004,P ver 152,Herald,mtORF1_F08
Plate4_C005,P ver 155,Herald,mtORF1_G08
Plate4_C006,P ver 179,Chilcott,mtORF1_H08
Plate4_C007,P ver 284,Holmes,mtORF1_A09
Plate4_H006,P ver 245,Moore,mtORF1_B09
Plate4_H007,P ver 290,Holmes,mtORF1_C09
Plate4_H008,P ver 361,Bougainville,mtORF1_D09
Plate4_F003,P ver 123,Flinders,mtORF1_F09
Plate4_F004,P ver 149,Herald,mtORF1_G09
Plate4_F006,P ver 220,Willis,mtORF1_H09
Plate4_F007,P ver 287,Holmes,mtORF1_A10
Plate4_F008,P ver 359,Bougainville,mtORF1_B10
